0	1
1	4
2	5
3	5
4	6
5	6
6	7
7	9
8	10
9	10
10	11
11	11
12	12
13	14
14	15
15	15
16	16
17	16
18	17
19	19
20	20
21	20
22	21
23	21
24	22
25	24
26	25
27	25
28	26
29	25
30	27
31	28
32	28
33	29
34	29
35	30
36	32
37	33
38	33
39	34
40	34
41	35
42	37
43	38
44	37
45	37
46	38
47	38
48	39
49	41
50	42
51	42
52	43
53	43
54	44
55	46
56	47
57	47
58	48
59	48
60	49
61	51
62	52
63	52
64	53
65	53
66	54
67	56
68	57
69	57
70	58
71	58
72	59
73	61
74	62
75	62
76	62
77	64
78	65
79	65
80	66
81	66
82	67
83	69
84	70
85	70
86	71
87	71
88	72
89	74
90	75
91	74
92	74
93	75
94	75
95	76
96	78
97	79
98	79
99	80
100	80
101	81
102	83
103	84
104	84
105	85
106	85
107	86
108	88
109	89
110	89
111	90
112	90
113	91
114	93
115	94
116	94
117	95
118	95
119	96
120	98
121	99
122	99
123	99
124	101
125	102
126	102
127	103
128	103
129	104
130	106
131	107
132	107
133	108
134	108
135	109
136	111
137	112
138	111
139	111
140	112
141	112
142	113
143	115
144	116
145	116
146	117
147	117
148	118
149	120
150	121
151	121
152	122
153	122
154	123
155	125
156	126
157	126
158	127
159	127
160	128
161	130
162	131
163	131
164	132
165	132
166	133
167	135
168	136
169	136
170	136
171	138
172	139
173	139
174	140
175	140
176	141
177	143
178	144
179	144
180	145
181	145
182	146
183	148
184	149
185	148
186	148
187	149
188	149
189	150
190	152
191	153
192	153
193	154
194	154
195	155
196	157
197	158
198	158
199	159
200	159
201	160
202	162
203	163
204	163
205	164
206	164
207	165
208	167
209	168
210	168
211	169
212	169
213	170
214	172
215	173
216	173
217	173
218	175
219	176
220	176
221	177
222	177
223	178
224	180
225	181
226	181
227	182
228	182
229	183
230	185
231	186
232	185
233	185
234	186
235	186
236	187
237	189
238	190
239	190
240	191
241	191
242	192
243	194
244	195
245	195
246	196
247	196
248	197
249	199
250	200
251	200
252	201
253	201
254	202
255	204
256	205
257	205
258	206
259	206
260	207
261	209
262	210
263	210
264	210
265	212
266	213
267	213
268	214
269	214
270	215
271	217
272	218
273	218
274	219
275	219
276	220
277	222
278	223
279	222
280	222
281	223
282	223
283	224
284	226
285	227
286	227
287	228
288	228
289	229
290	231
291	232
292	232
293	233
294	233
295	234
296	236
297	237
298	237
299	238
300	238
301	239
302	241
303	242
304	242
305	243
306	243
307	244
308	246
309	247
310	247
311	247
312	249
313	250
314	250
315	251
316	251
317	252
318	254
319	255
320	255
321	256
322	256
323	257
324	259
325	260
326	259
327	259
328	260
329	259
330	261
331	262
332	262
333	263
334	263
335	264
336	266
337	267
338	267
339	268
340	268
341	269
342	271
343	272
344	272
345	273
346	273
347	274
348	276
349	277
